en,zh,note
Curse of Doom,厄运的诅咒,
Curse of Doom,厄运的诅咒,
Curse of Doom,厄运的诅咒,
Curse,诅咒,
Quicken,加速,
Bleeder,放血者,
1 Card,1最大手牌数,
1 Action,1<<SK|action>>,
3 Health,3<<SK|health>>,
2 Mana,2 <<SK|mana>>,
1 Exp,1经验,
Equipment Slot,装备槽,
Dance Puppets!,人偶们！一起跳舞吧！,
1 Mana,1 <<SK|mana>>,
EquipmentSlot,装备,
Mana,<<SK|mana>>,
Action,<<SK|action>>,
Card,最大手牌数,
Health,<<SK|health>>,
Exp,<<SK|Exp>>,
Template Potion,模板药剂,行动,待翻译,
