en,zh,note
Kill 20 dragons,击杀【20】个<<SpecialKeyword|dragons>>,
Defeat the Goblin King,击败领主<<MonsterName|Goblin King>>,
Defeat the Unicorn,击败领主<<MonsterName|Unicorn>>,
Defeat the Genie,击败领主<<MonsterName|Genie>>,
Defeat Cumulo Nimbus,击败领主<<MonsterName|Cumulo Nimbus>>,
Defeat the Gelatinous Cube,击败领主<<MonsterName|Gelatinous Cube>>,
Defeat the Vampire,击败领主<<MonsterName|Vampire>>,
Defeat the Giant Shark,击败领主<<MonsterName|Giant Shark>>,
Defeat the Akami Ascendent,击败领主<<MonsterName|Akami Ascendant>>,
Defeat the Ussuri War Queen,击败领主<<MonsterName|Ussuri War Queen>>,
Defeat the Magmadon,击败领主<<MonsterName|Magmadon>>,
Defeat the Lich,击败领主<<MonsterName|Lich>>,
Defeat the Chromatic Demon,击败领主<<MonsterName|Chromatic Demon>>,
Defeat the Titan,击败领主<<MonsterName|Titan>>,
Defeat the Mime,击败领主<<MonsterName|Mime>>,
Defeat the Ice Queen,击败领主<<MonsterName|Ice Queen>>,
Defeat the Hydra,击败领主<<MonsterName|Hydra>>,
Defeat the Phoenix,击败领主<<MonsterName|Phoenix>>,
Defeat the Kraken,击败领主<<MonsterName|Kraken>>,
Defeat each of the eighteen bosses,击败全部【18】个领主,
Clear the dungeon as a wizard,使用 <<ChooseClass|wizard>> 职业通关地牢,
Clear the dungeon as a paladin,使用 <<ChooseClass|paladin>> 职业通关地牢,
Clear the dungeon as a thief,使用 <<ChooseClass|thief>> 职业通关地牢,
Clear the dungeon as a warrior,使用 <<ChooseClass|warrior>> 职业通关地牢,
Clear the dungeon as a priest,使用 <<ChooseClass|priest>> 职业通关地牢,
Clear the dungeon as an assassin,使用 <<ChooseClass|assassin>> 职业通关地牢,
Clear the dungeon as a monk,使用 <<ChooseClass|monk>> 职业通关地牢,
Clear the dungeon as a necromancer,使用 <<ChooseClass|necromancer>> 职业通关地牢,
Clear the dungeon as a samurai,使用 <<ChooseClass|samurai>> 职业通关地牢,
Clear the dungeon as a ranger,使用 <<ChooseClass|ranger>> 职业通关地牢,
Clear the dungeon as a druid,使用 <<ChooseClass|druid>> 职业通关地牢,
Clear the dungeon as a bard,使用 <<ChooseClass|bard>> 职业通关地牢,
Clear the dungeon as a dragon,使用 <<ChooseClass|dragon>> 职业通关地牢,
Clear the dungeon as a professor,使用 <<ChooseClass|professor>> 职业通关地牢,
Clear the dungeon once,通关地牢【1】次,
Clear the dungeon as each of the base classes,使用所有的基本职业通关地牢,
Clear the dungeon as each of the advanced classes,使用所有的进阶职业通关地牢,
Reduce the final boss to under 850 health as a wizard,使用 <<ChooseClass|wizard>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a paladin,使用 <<ChooseClass|paladin>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a thief,使用 <<ChooseClass|thief>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a warrior,使用 <<ChooseClass|warrior>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a priest,使用 <<ChooseClass|priest>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as an assassin,使用 <<ChooseClass|assassin>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a monk,使用 <<ChooseClass|monk>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a necromancer,使用 <<ChooseClass|necromancer>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a samurai,使用 <<ChooseClass|samurai>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a ranger,使用 <<ChooseClass|ranger>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a druid,使用 <<ChooseClass|druid>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a bard,使用 <<ChooseClass|bard>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a dragon,使用 <<ChooseClass|dragon>> 职业将最终领主的血量降低到【850】以下,
Reduce the final boss to under 850 health as a professor,使用 <<ChooseClass|professor>> 职业将最终领主的血量降低到【850】以下,
Pray at an altar,在一座祭坛前祈祷,
Pray at all 6 altars,在全部六座祭坛前祈祷,
Complete the mushroom patch quest,完成<<DungeonFeatureName|Mushroom Patch>>任务,
Buy all the items in a shop,购买了商店的所有物品,
Delete a card from your deck,从你的卡组中删除【1】张卡牌,
Reach the second floor,到达第二层,
Reach the third floor,到达第三层,
Reach level 10,升到【10】级,
End a turn with 10 cards in play,一回合打出【10】张卡牌,
Begin a combat with no cards in your deck,在一场战斗开始时，你的卡组中没有任何卡牌,
Defeat a boss without killing any monsters on that floor,在没有击杀该层任何怪物的情况下，击杀该层的领主,
Have 300 gold at once,在一局游戏中拥有超过【300】金币,
Have 50 base mana,拥有【50】基础法力,
Clear the dungeon without deleting cards from your deck,在未从卡组中删除任何卡牌的情况下通关地牢,
Complete the first floor with all four base classes,用全部四个基础职业通关第一层,
Reduce the final boss to under 750 health,将最终领主的血量降低到【750】以下,
Defeat the final boss by reducing its health to 0,将最终领主的血量降低到【0】以下，从而击败最终领主,
See all 6 environments,见过了全部六种环境,
Start combat with each of the different types of non-boss monsters,与每种类型的非领主怪物发生过战斗,
