Attack (1), 待翻译,
Fire Shape, 待翻译,
Storm Shape, 待翻译,
Nature's Blessing, 待翻译,
Summon Companions, 待翻译,
Sear, 待翻译,
Explosion, 待翻译,
Slow, 待翻译,
Thunder Storm, 待翻译,
Solidify, 待翻译,
Dark Mending, 待翻译,
Discharge, 待翻译,
Healing Potion, 待翻译,
Fire Bomb, 待翻译,
Bandage, 待翻译,
Sift, 待翻译,
Last Chance, 待翻译,
Study Guide, 待翻译,
Tiltowait, 待翻译,
Slap, 待翻译,
Slice, 待翻译,
Dice, 待翻译,
Pilfer, 待翻译,
Swiftness, 待翻译,
Alacrity, 待翻译,
Jab, 待翻译,
Avoid, 待翻译,
Venom, 待翻译,
Mimic, 待翻译,
Evasion, 待翻译,
Circle, 待翻译,
Expose, 待翻译,
Sidestep, 待翻译,
Hemorrhage, 待翻译,
Preparation, 待翻译,
Desperate Strike, 待翻译,
Bleed, 待翻译,
Coup de Grace, 待翻译,
Accelerate, 待翻译,
Penetrating Palm, 待翻译,
Strike (1), 待翻译,
Strike (2), 待翻译,
Strike (3), 待翻译,
Kick, 待翻译,
Pickpocket, 待翻译,
Skewer, 待翻译,
Dodge, 待翻译,
Recycle, 待翻译,
Piercing Stab, 待翻译,
Mental Fortress, 待翻译,
Extract, 待翻译,
Focus, 待翻译,
Inner Focus, 待翻译,
Inner Peace, 待翻译,
Meditation, 待翻译,
Study, 待翻译,
Curse of Weakness, 待翻译,
Second Thoughts, 待翻译,
Second Wind, 待翻译,
Psionic Blast, 待翻译,
Pure Thoughts, 待翻译,
Second Strike, 待翻译,
Anticipate, 待翻译,
Charm, 待翻译,
Bewitch, 待翻译,
Channel, 待翻译,
Misdirection, 待翻译,
Rush, 待翻译,
Stoneskin, 待翻译,
Overpower, 待翻译,
Battle Cry, 待翻译,
Choke, 待翻译,
Execute, 待翻译,
Crush, 待翻译,
Hamstring, 待翻译,
Blade Flurry, 待翻译,
Shield Wall, 待翻译,
Troll Hide, 待翻译,
Obliterate, 待翻译,
Wall of Swords, 待翻译,
Resilience, 待翻译,
Flee, 待翻译,
Mana Potion, 待翻译,
Storm Palm, 待翻译,
Flame Palm, 待翻译,
Acid Palm, 待翻译,
Frost Palm, 待翻译,
Lich Kick, 待翻译,
Dragon's Breath, 待翻译,
Dragon's Hide, 待翻译,
Dragon's Roar, 待翻译,
Dragon's Snack, 待翻译,
Dragon's Tail, 待翻译,
Eagle, 待翻译,
Wolf, 待翻译,
Turtle, 待翻译,
Tongue Lash, 待翻译,
Tongue Lash, 待翻译,
Coin Toss, 待翻译,
Gag, 待翻译,
Hide, 待翻译,
Escape, 待翻译,
Goblin Bomb, 待翻译,
Mind Drain, 待翻译,
Sprite Stab, 待翻译,
Mana Drain, 待翻译,
Suffocate, 待翻译,
Bone Shield, 待翻译,
Bone Shield (2), 待翻译,
Vampire Bite, 待翻译,
Vampire Bite (2), 待翻译,
Slam, 待翻译,
Flame Breath, 待翻译,
Dragon Scales, 待翻译,
Dragon Scales (2), 待翻译,
Acid Breath, 待翻译,
Lightning Breath, 待翻译,
Frost Breath, 待翻译,
Storm Stab, 待翻译,
Shred, 待翻译,
Claw, 待翻译,
Swipe, 待翻译,
Pounce, 待翻译,
Chaos Prayer, 待翻译,
Stone, 待翻译,
Sting, 待翻译,
Scream, 待翻译,
Web, 待翻译,
Web (2), 待翻译,
Zombie Bite, 待翻译,
Golem Armor, 待翻译,
Gore, 待翻译,
Enthrall, 待翻译,
Three Wishes, 待翻译,
Three Wishes, 待翻译,
Zap, 待翻译,
Crush Everything, 待翻译,
Infernal Contract, 待翻译,
Corrupt, 待翻译,
Brambles, 待翻译,
Might of Oak, 待翻译,
Entrap, 待翻译,
Teach, 待翻译,
Dance, Puppets!, 待翻译,
Engulf, 待翻译,
Baleful Gaze, 待翻译,
Incorporeal, 待翻译,
Fly, 待翻译,
Digest, 待翻译,
Gaze, 待翻译,
Drain Life, 待翻译,
Soul Crush, 待翻译,
Beckon, 待翻译,
Ravage, 待翻译,
Deadly Curse, 待翻译,
Wreath of Fire, 待翻译,
Scorch, 待翻译,
Swarm, 待翻译,
Swarm, 待翻译,
Sword (Level 1), 待翻译,
Sword (Level 2), 待翻译,
Sword (Level 3), 待翻译,
Sword (Level 4), 待翻译,
Sword, 待翻译,
Greatbow, 待翻译,
Staff, 待翻译,
Pendant, 待翻译,
Shield, 待翻译,
Armor, 待翻译,
Celestial Plate, 待翻译,
Darting Daggers, 待翻译,
Boots of Speed, 待翻译,
Cloak of Flame, 待翻译,
Donnerschwert, 待翻译,
The Bleeder, 待翻译,
Jasra's Tome, 待翻译,
Jeremiad's Bracer, 待翻译,
Phoenix Feather, 待翻译,
Vampire Sword, 待翻译,
Flamebrand, 待翻译,
Jasra's Emerald, 待翻译,
Jeremiad's Kris, 待翻译,
Poison Dagger, 待翻译,
Scimitars, 待翻译,
Periapt of Protection, 待翻译,
Deck of Wonder, 待翻译,
Bloody Knuckles, 待翻译,
Dancing Scimitar, 待翻译,
Troll Blood Charm, 待翻译,
Soulforge, 待翻译,
Gauss' Hourglass, 待翻译,
Bear, 待翻译,
Forcefield, 待翻译,
Cloak of Invisibility, 待翻译,
Goblin Ally, 待翻译,
Goblin Lackey, 待翻译,
Phylactery, 待翻译,
Storm Blade, 待翻译,
Mana Totem, 待翻译,
Haste Totem, 待翻译,
Shock Totem, 待翻译,
Disorient, 待翻译,
Riposte, 待翻译,
Exhaustion, 待翻译,
Fester, 待翻译,
Protean, 待翻译,
Cower, 待翻译,
Screech, 待翻译,
Retaliate, 待翻译,
Retribution, 待翻译,
Reenact, 待翻译,
Slurp, 待翻译,
Ink Spray, 待翻译,
Chain Lightning, 待翻译,
Counterspell, 待翻译,
Prayer of Wrath, 待翻译,
Prayer of Violence, 待翻译,
Prayer of Speed, 待翻译,
Prayer of Life, 待翻译,
Curse of Doom, 待翻译,
Curse of Doom, 待翻译,
Curse of Doom, 待翻译,
Curse, 待翻译,
Equipment Slot, 待翻译,
